Geracao;FitnessMelhor;FitnessMedia;DistanciaMelhor;Venceu
65;1259.00;921.68;1074;False
66;1259.00;953.00;1074;False
67;1259.00;926.13;1074;False
68;1259.00;935.43;1074;False
69;1259.00;912.62;1074;False
70;1259.00;931.42;1074;False
71;1259.00;930.27;1074;False
72;1259.00;984.97;1074;False
73;1259.00;985.02;1074;False
74;1317.50;973.00;1130;False
75;1325.50;973.73;1132;False
76;1328.50;964.10;1135;False
77;1328.50;1064.03;1135;False
78;1328.50;975.17;1135;False
79;1328.50;1009.45;1135;False
80;1328.50;981.52;1135;False
81;1328.50;1020.75;1135;False
82;1328.50;966.35;1135;False
83;1328.50;984.38;1135;False
84;1328.50;1007.12;1135;False
85;1328.50;1001.25;1135;False
86;1328.50;990.25;1135;False
87;1328.50;1065.90;1135;False
88;1328.50;1022.80;1135;False
89;1328.50;972.52;1135;False
90;1328.50;984.88;1135;False
91;1532.00;1021.27;1342;False
92;1534.00;1117.88;1344;False
93;1534.00;1108.48;1344;False
94;1534.00;1099.30;1344;False
95;1534.00;1149.03;1344;False
96;1534.00;981.77;1344;False
97;1534.00;1075.33;1344;False
98;1534.00;1124.67;1344;False
99;1534.00;1058.98;1344;False
100;1534.00;1121.18;1344;False
101;1534.00;1112.07;1344;False
102;1534.00;1094.87;1344;False
103;1534.00;1093.68;1344;False
104;1534.00;1131.45;1344;False
105;1534.00;1051.80;1344;False
106;1534.00;1001.82;1344;False
107;1534.00;1088.80;1344;False
108;1534.00;1025.65;1344;False
109;1534.00;1147.50;1344;False
110;1534.00;1134.68;1344;False
111;1534.00;1034.07;1344;False
112;1534.00;1134.27;1344;False
113;1534.00;1080.68;1344;False
114;1534.00;1001.45;1344;False
115;1630.50;1112.27;1430;False
116;1631.50;1138.02;1431;False
117;1631.50;1140.40;1431;False
118;1631.50;1100.27;1431;False
119;1631.50;1099.82;1431;False
120;1631.50;1076.63;1431;False
121;1631.50;1128.43;1431;False
122;1631.50;1023.95;1431;False
123;1631.50;1119.73;1431;False
124;1631.50;1097.02;1431;False
125;1631.50;1180.82;1431;False
126;1631.50;1134.37;1431;False
127;1631.50;1119.72;1431;False
128;1631.50;1008.32;1431;False
129;1631.50;1107.88;1431;False
130;1631.50;1097.23;1431;False
131;1631.50;1084.77;1431;False
132;1631.50;1032.38;1431;False
133;1631.50;1104.40;1431;False
134;1631.50;1117.98;1431;False
135;1631.50;1099.60;1431;False
136;1631.50;1112.68;1431;False
137;1631.50;1101.87;1431;False
138;1631.50;1130.08;1431;False
139;1631.50;1104.55;1431;False
140;1631.50;1151.58;1431;False
141;1631.50;1083.32;1431;False
142;1631.50;1101.35;1431;False
143;1631.50;1141.93;1431;False
144;1631.50;1125.87;1431;False
145;1631.50;1153.13;1431;False
146;1631.50;1137.70;1431;False
147;1631.50;1045.42;1431;False
148;1631.50;1093.02;1431;False
149;1631.50;1130.82;1431;False
150;1631.50;1096.12;1431;False
151;1631.50;1120.32;1431;False
152;1631.50;1063.58;1431;False
153;1631.50;1067.17;1431;False
154;1631.50;1118.75;1431;False
155;1631.50;1157.48;1431;False
156;1631.50;1075.67;1431;False
157;1631.50;1074.00;1431;False
158;1631.50;1062.95;1431;False
159;1631.50;1107.87;1431;False
160;1631.50;1130.30;1431;False
161;1631.50;1097.18;1431;False
162;1631.50;1112.47;1431;False
163;1631.50;1100.25;1431;False
164;1631.50;1195.50;1431;False
165;1631.50;1080.32;1431;False
166;1631.50;1092.28;1431;False
167;1631.50;1091.35;1431;False
168;1631.50;1097.45;1431;False
169;1631.50;1057.67;1431;False
170;1631.50;1130.78;1431;False
171;1631.50;1019.95;1431;False
172;1631.50;1121.10;1431;False
173;1631.50;1102.18;1431;False
174;1631.50;1035.42;1431;False
175;1631.50;1118.67;1431;False
176;1631.50;1115.17;1431;False
177;1631.50;1065.68;1431;False
178;1716.00;1143.17;1521;False
179;1748.00;1097.17;1553;False
180;1749.00;1211.72;1554;False
181;1749.00;1172.98;1554;False
182;1749.00;1133.28;1554;False
183;1749.00;1093.08;1554;False
184;1749.00;1134.97;1554;False
185;1749.00;1180.25;1554;False
186;1749.00;1193.97;1554;False
187;1749.00;1135.58;1554;False
188;1749.00;1202.57;1554;False
189;1749.00;1120.88;1554;False
190;1749.00;1116.38;1554;False
191;1749.00;1179.55;1554;False
192;1749.00;1136.28;1554;False
193;1749.00;1163.73;1554;False
194;1749.00;1151.77;1554;False
195;1749.00;1168.18;1554;False
196;1749.00;1161.92;1554;False
197;1749.00;1110.43;1554;False
198;1749.00;1241.48;1554;False
199;1749.00;1063.90;1554;False
200;1749.00;1133.10;1554;False
201;1749.00;1099.87;1554;False
202;1749.00;1123.55;1554;False
203;1749.00;1116.40;1554;False
204;1749.00;1114.02;1554;False
205;1749.00;1073.03;1554;False
206;1749.00;1154.45;1554;False
207;1749.00;1126.73;1554;False
208;1749.00;1175.48;1554;False
209;1749.00;1197.03;1554;False
210;1749.00;1182.37;1554;False
211;1749.00;1185.55;1554;False
212;1749.00;1170.28;1554;False
213;1749.00;1213.87;1554;False
214;1749.00;1163.78;1554;False
215;1749.00;1134.93;1554;False
216;1749.00;1160.20;1554;False
217;1749.00;1135.92;1554;False
218;1749.00;1188.60;1554;False
219;1749.00;1149.57;1554;False
220;1749.00;1133.75;1554;False
221;1749.00;1154.60;1554;False
222;1749.00;1264.88;1554;False
223;1749.00;1121.00;1554;False
224;1749.00;1151.57;1554;False
225;1749.00;1213.10;1554;False
226;1749.00;1166.18;1554;False
227;1749.00;1193.00;1554;False
228;1749.00;1101.23;1554;False
229;1749.00;1150.48;1554;False
230;1749.00;1143.40;1554;False
231;1749.00;1144.62;1554;False
232;1749.00;1162.77;1554;False
233;1749.00;1135.27;1554;False
234;1749.00;1084.37;1554;False
235;1749.00;1132.98;1554;False
236;1749.00;1161.32;1554;False
237;1762.00;1160.30;1547;False
238;1762.00;1223.13;1547;False
239;1762.00;1123.60;1547;False
240;1762.00;1198.48;1547;False
241;1762.00;1100.80;1547;False
242;1762.00;1097.18;1547;False
243;1762.00;1171.77;1547;False
244;1762.00;1116.92;1547;False
245;1762.00;1149.43;1547;False
246;1762.00;1137.97;1547;False
247;1762.00;1148.28;1547;False
248;1762.00;1140.90;1547;False
249;1762.00;1218.15;1547;False
250;1762.00;1121.73;1547;False
251;1762.00;1106.73;1547;False
252;1762.00;1135.42;1547;False
253;1762.00;1175.17;1547;False
254;1762.00;1207.22;1547;False
255;1762.00;1194.27;1547;False
256;1762.00;1146.50;1547;False
257;1762.00;1103.20;1547;False
258;1762.00;1181.87;1547;False
259;1762.00;1167.60;1547;False
260;1762.00;1126.00;1547;False
261;1762.00;1218.83;1547;False
262;1762.00;1107.47;1547;False
263;1762.00;1222.98;1547;False
264;1762.00;1162.60;1547;False
265;1762.00;1138.83;1547;False
266;1762.00;1215.63;1547;False
267;1762.00;1157.12;1547;False
268;1762.00;1162.50;1547;False
269;1762.00;1112.85;1547;False
270;1762.00;1172.33;1547;False
271;1762.00;1110.22;1547;False
272;1762.00;1176.33;1547;False
273;1762.00;1219.33;1547;False
274;1762.00;1124.85;1547;False
275;1762.00;1150.83;1547;False
276;1762.00;1145.02;1547;False
277;1762.00;1139.62;1547;False
278;1762.00;1215.05;1547;False
279;1762.00;1145.90;1547;False
280;1762.00;1119.75;1547;False
281;1762.00;1229.97;1547;False
282;1762.00;1167.05;1547;False
283;1762.00;1170.10;1547;False
284;1762.00;1195.30;1547;False
285;1762.00;1134.52;1547;False
286;1762.00;1188.63;1547;False
287;1762.00;1156.00;1547;False
288;1762.00;1226.12;1547;False
289;1762.00;1141.60;1547;False
290;1762.00;1172.58;1547;False
291;1762.00;1154.05;1547;False
292;1762.00;1143.85;1547;False
293;1762.00;1135.50;1547;False
294;1762.00;1202.57;1547;False
295;1762.00;1104.00;1547;False
296;1762.00;1215.43;1547;False
297;1762.00;1104.17;1547;False
298;1762.00;1106.98;1547;False
299;1762.00;1202.07;1547;False
300;1762.00;1151.42;1547;False
301;1762.00;1125.18;1547;False
302;1762.00;1141.62;1547;False
303;1762.00;1168.68;1547;False
304;1762.00;1157.47;1547;False
